"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11367","Verify new tab and assert title","chromium","2026-03-04","passed","2026-03-04","","home.spec.ts","",""
"","35613","Search and Verify new url","chromium","2026-03-04","failed","2026-03-04","","home.spec.ts","",""
"","34342","Verify menu tabs text and link","chromium","2026-03-04","broken","2026-03-04","","home.spec.ts","",""
"","21634","Verify the url and the logo","chromium","2026-03-04","passed","2026-03-04","","home.spec.ts","",""
"","8483","Verify table number of rows","chromium","2026-03-04","passed","2026-03-04","","home.spec.ts","",""
